"artist_name","artist_id","album_id","album_type","album_images","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","artists","available_markets","disc_number","duration_ms","explicit","track_href","track_name","preview_url","track_number","type","track_uri","is_local","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.576,0.453,11,-11.308,0,0.0494,0.903,0.649,0.0836,0.917,150.053,"4bounIjCC4xHH7Ae1W8aDq","https://api.spotify.com/v1/audio-analysis/4bounIjCC4xHH7Ae1W8aDq",1,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,223760,FALSE,"https://api.spotify.com/v1/tracks/4bounIjCC4xHH7Ae1W8aDq","Alphabet City","https://p.scdn.co/mp3-preview/64e75069cac77ce3ca6d3a4f84017539867f6978?cid=119ac98c129d4d49a245fcb3cef96d86",1,"track","spotify:track:4bounIjCC4xHH7Ae1W8aDq",FALSE,"https://open.spotify.com/track/4bounIjCC4xHH7Ae1W8aDq","Laugh Track","B","minor","B minor"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.533,0.885,0,-7.149,1,0.0386,0.121,0.579,0.184,0.619,87.038,"5QD7OqeRVdpFys4QZ3UxeS","https://api.spotify.com/v1/audio-analysis/5QD7OqeRVdpFys4QZ3UxeS",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,269440,FALSE,"https://api.spotify.com/v1/tracks/5QD7OqeRVdpFys4QZ3UxeS","Deep End (Paul's in Pieces)","https://p.scdn.co/mp3-preview/2b0f01d1b95fac09d2b48e2d232e8e269764f0c0?cid=119ac98c129d4d49a245fcb3cef96d86",2,"track","spotify:track:5QD7OqeRVdpFys4QZ3UxeS",FALSE,"https://open.spotify.com/track/5QD7OqeRVdpFys4QZ3UxeS","Laugh Track","C","major","C major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.523,0.555,8,-7.761,1,0.0776,0.295,0.000859,0.0812,0.715,99.641,"75JaY0e1HDkTfetsrQ5vUR","https://api.spotify.com/v1/audio-analysis/75JaY0e1HDkTfetsrQ5vUR",4,"c(""https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB"", ""https://api.spotify.com/v1/artists/4LEiUm1SRbFMgfqnQTwUbQ""), c(""2cCUtGK9sDU2EoElnk0GNB"", ""4LEiUm1SRbFMgfqnQTwUbQ""), c(""The National"", ""Bon Iver""), c(""artist"", ""artist""), c(""spotify:artist:2cCUtGK9sDU2EoElnk0GNB"", ""spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ""), c(""https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB"", ""https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ"")","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,303173,FALSE,"https://api.spotify.com/v1/tracks/75JaY0e1HDkTfetsrQ5vUR","Weird Goodbyes (feat. Bon Iver)","https://p.scdn.co/mp3-preview/300865a2e7e303f2883683b73f59966f5555a4c7?cid=119ac98c129d4d49a245fcb3cef96d86",3,"track","spotify:track:75JaY0e1HDkTfetsrQ5vUR",FALSE,"https://open.spotify.com/track/75JaY0e1HDkTfetsrQ5vUR","Laugh Track","G#","major","G# major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.537,0.879,1,-8.947,1,0.0354,0.0192,0.637,0.112,0.482,160.021,"5AzCPQziPBO51rpUWohrCH","https://api.spotify.com/v1/audio-analysis/5AzCPQziPBO51rpUWohrCH",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,275240,FALSE,"https://api.spotify.com/v1/tracks/5AzCPQziPBO51rpUWohrCH","Turn off the House","https://p.scdn.co/mp3-preview/322fe65e90192e3defeeb364982eb750b69f3d32?cid=119ac98c129d4d49a245fcb3cef96d86",4,"track","spotify:track:5AzCPQziPBO51rpUWohrCH",FALSE,"https://open.spotify.com/track/5AzCPQziPBO51rpUWohrCH","Laugh Track","C#","major","C# major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.603,0.699,1,-9.601,1,0.0515,0.583,0.833,0.136,0.27,126.038,"0kGhj3TL4RSuwgtqpo1rc4","https://api.spotify.com/v1/audio-analysis/0kGhj3TL4RSuwgtqpo1rc4",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,226893,FALSE,"https://api.spotify.com/v1/tracks/0kGhj3TL4RSuwgtqpo1rc4","Dreaming","https://p.scdn.co/mp3-preview/6ca6bffe75af3c9c26eb6a573c35fe57dd0af414?cid=119ac98c129d4d49a245fcb3cef96d86",5,"track","spotify:track:0kGhj3TL4RSuwgtqpo1rc4",FALSE,"https://open.spotify.com/track/0kGhj3TL4RSuwgtqpo1rc4","Laugh Track","C#","major","C# major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.658,0.564,5,-9.422,1,0.0441,0.66,0.155,0.0636,0.597,146.029,"7aprF5ADDukD1JWHXG9h9z","https://api.spotify.com/v1/audio-analysis/7aprF5ADDukD1JWHXG9h9z",4,"c(""https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB"", ""https://api.spotify.com/v1/artists/1r1uxoy19fzMxunt3ONAkG""), c(""2cCUtGK9sDU2EoElnk0GNB"", ""1r1uxoy19fzMxunt3ONAkG""), c(""The National"", ""Phoebe Bridgers""), c(""artist"", ""artist""), c(""spotify:artist:2cCUtGK9sDU2EoElnk0GNB"", ""spotify:artist:1r1uxoy19fzMxunt3ONAkG""), c(""https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB"", ""https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG"")","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,264120,FALSE,"https://api.spotify.com/v1/tracks/7aprF5ADDukD1JWHXG9h9z","Laugh Track (feat. Phoebe Bridgers)","https://p.scdn.co/mp3-preview/79226bd2093671cd88979acf3bb51e5b5b3680ef?cid=119ac98c129d4d49a245fcb3cef96d86",6,"track","spotify:track:7aprF5ADDukD1JWHXG9h9z",FALSE,"https://open.spotify.com/track/7aprF5ADDukD1JWHXG9h9z","Laugh Track","F","major","F major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.522,0.823,0,-8.616,1,0.0489,0.0189,0.625,0.117,0.216,110.018,"5ce3o4fcZbZVdGCDkK6KN7","https://api.spotify.com/v1/audio-analysis/5ce3o4fcZbZVdGCDkK6KN7",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,418080,FALSE,"https://api.spotify.com/v1/tracks/5ce3o4fcZbZVdGCDkK6KN7","Space Invader","https://p.scdn.co/mp3-preview/c15cb211d6f39cf7e528cfeeecfb2a98d931d0b9?cid=119ac98c129d4d49a245fcb3cef96d86",7,"track","spotify:track:5ce3o4fcZbZVdGCDkK6KN7",FALSE,"https://open.spotify.com/track/5ce3o4fcZbZVdGCDkK6KN7","Laugh Track","C","major","C major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.637,0.445,3,-10.327,1,0.0325,0.782,0.0122,0.0931,0.234,120.034,"4WQLwMzKcPcFX0hrx66f31","https://api.spotify.com/v1/audio-analysis/4WQLwMzKcPcFX0hrx66f31",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,275213,TRUE,"https://api.spotify.com/v1/tracks/4WQLwMzKcPcFX0hrx66f31","Hornets","https://p.scdn.co/mp3-preview/f50888881aeef5949ca980e40ca949a81289cc36?cid=119ac98c129d4d49a245fcb3cef96d86",8,"track","spotify:track:4WQLwMzKcPcFX0hrx66f31",FALSE,"https://open.spotify.com/track/4WQLwMzKcPcFX0hrx66f31","Laugh Track","D#","major","D# major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.548,0.648,0,-10.947,1,0.0695,0.741,0.0686,0.0872,0.376,108.968,"1fdvImMImBQAmX7MCCCtJT","https://api.spotify.com/v1/audio-analysis/1fdvImMImBQAmX7MCCCtJT",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,298066,FALSE,"https://api.spotify.com/v1/tracks/1fdvImMImBQAmX7MCCCtJT","Coat on a Hook","https://p.scdn.co/mp3-preview/901c37b78872c39171736d57b0e9116e98aa10f9?cid=119ac98c129d4d49a245fcb3cef96d86",9,"track","spotify:track:1fdvImMImBQAmX7MCCCtJT",FALSE,"https://open.spotify.com/track/1fdvImMImBQAmX7MCCCtJT","Laugh Track","C","major","C major"
"The National","2cCUtGK9sDU2EoElnk0GNB","7re8T0K3s8v3S3xeiQcOYi","album","c(""https://i.scdn.co/image/ab67616d0000b2738b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d00001e028b7be5c3be9da20db869abe0"", ""https://i.scdn.co/image/ab67616d000048518b7be5c3be9da20db869abe0""), c(640, 300, 64), c(640, 300, 64)","2023-09-18",2023,"day",0.604,0.682,10,-11.875,1,0.0537,0.679,0.209,0.0958,0.597,76.04,"1sLKxNNxoegseEHR2AoxdJ","https://api.spotify.com/v1/audio-analysis/1sLKxNNxoegseEHR2AoxdJ",4,"https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB, 2cCUtGK9sDU2EoElnk0GNB, The National, artist, spotify:artist:2cCUtGK9sDU2EoElnk0GNB, https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB","AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",1,266520,FALSE,"https://api.spotify.com/v1/tracks/1sLKxNNxoegseEHR2AoxdJ","Tour Manager","https://p.scdn.co/mp3-preview/85c202956adf1c35876a8502586eb3fa1c82d85b?cid=119ac98c129d4d49a245fcb3cef96d86",10,"track","spotify:track:1sLKxNNxoegseEHR2AoxdJ",FALSE,"https://open.spotify.com/track/1sLKxNNxoegseEHR2AoxdJ","Laugh Track","A#","major","A# major"
